ID	Sub1	Sub2	Sub3	Mark1	Mark2	Mark3	Total
1264	Math	Science	English	83	58	73	214
1265	Math	Science	English	84	59	74	217
1266	Math	Science	English	85	60	75	220
1267	Math	Science	English	86	61	76	223
1268	Math	Science	English	87	62	77	226
1269	Math	Science	English	88	63	78	229
1270	Math	Science	English	89	64	79	232
1271	Math	Science	English	90	65	80	235
1272	Math	Science	English	91	66	81	238
1273	Math	Science	English	92	67	82	241
1274	Math	Science	English	93	68	83	244
1275	Math	Science	English	45	70	80	195
1276	Math	Science	English	46	71	81	198
1277	Math	Science	English	47	72	82	201
1278	Math	Science	English	48	73	83	204
1279	Math	Science	English	49	74	84	207
1280	Math	Science	English	50	75	85	210
1281	Math	Science	English	51	76	86	213
1282	Math	Science	English	52	77	87	216
1283	Math	Science	English	53	78	88	219
1284	Math	Science	English	54	79	89	222
1285	Math	Science	English	55	80	90	225
1286	Math	Science	English	56	81	91	228
1287	Math	Science	English	57	82	92	231
1288	Math	Science	English	58	83	93	234
1289	Math	Science	English	59	84	94	237
1290	Math	Science	English	60	85	95	240
1291	Math	Science	English	61	86	96	243
1292	Math	Science	English	62	87	97	246
1293	Math	Science	English	63	88	98	249
1294	Math	Science	English	64	89	99	252
1295	Math	Science	English	65	90	10	165
1296	Math	Science	English	66	91	11	168
1297	Math	Science	English	67	92	12	171
1298	Math	Science	English	68	93	13	174
1299	Math	Science	English	69	94	14	177
1300	Math	Science	English	70	95	15	180
